"Indicator Name","Cancer Type","Year","Country Name","Region","Gender","Area","Numeric","Lower Confidence Limit","Upper Confidence Limit","Comment",
"Diabetes age-standardized death rate","","2019","","Global","Total","","23.19100899","no data","no data","",
"Diabetes age-standardized death rate","","2019","","Global","Males","","25.44080513","no data","no data","",
"Diabetes age-standardized death rate","","2019","","Global","Females","","21.29480105","no data","no data","",
"Diabetes age-standardized death rate","","2019","Afghanistan","Eastern Mediterranean Region","Total","","57.92835787","no data","no data","",
"Diabetes age-standardized death rate","","2019","Afghanistan","Eastern Mediterranean Region","Males","","39.56731078","no data","no data","",
"Diabetes age-standardized death rate","","2019","Afghanistan","Eastern Mediterranean Region","Females","","74.82570433","no data","no data","",
"Diabetes age-standardized death rate","","2019","African Region","African Region","Total","","48.28029066","no data","no data","",
"Diabetes age-standardized death rate","","2019","African Region","African Region","Males","","54.56042034","no data","no data","",
"Diabetes age-standardized death rate","","2019","African Region","African Region","Females","","43.05083853","no data","no data","",
"Diabetes age-standardized death rate","","2019","Albania","European Region","Total","","5.509274028","no data","no data","",
"Diabetes age-standardized death rate","","2019","Albania","European Region","Males","","5.272747722","no data","no data","",
"Diabetes age-standardized death rate","","2019","Albania","European Region","Females","","5.599784662","no data","no data","",
"Diabetes age-standardized death rate","","2019","Algeria","African Region","Total","","20.33360244","no data","no data","",
"Diabetes age-standardized death rate","","2019","Algeria","African Region","Males","","18.17593602","no data","no data","",
"Diabetes age-standardized death rate","","2019","Algeria","African Region","Females","","22.38484163","no data","no data","",
"Diabetes age-standardized death rate","","2019","Andorra","European Region","Total","","no data","no data","no data","",
"Diabetes age-standardized death rate","","2019","Andorra","European Region","Males","","no data","no data","no data","",
"Diabetes age-standardized death rate","","2019","Andorra","European Region","Females","","no data","no data","no data","",
"Diabetes age-standardized death rate","","2019","Angola","African Region","Total","","50.00562837","no data","no data","",
"Diabetes age-standardized death rate","","2019","Angola","African Region","Males","","69.35811356","no data","no data","",
"Diabetes age-standardized death rate","","2019","Angola","African Region","Females","","34.65726481","no data","no data","",
"Diabetes age-standardized death rate","","2019","Antigua and Barbuda","Region of the Americas","Total","","61.53434375","no data","no data","",
"Diabetes age-standardized death rate","","2019","Antigua and Barbuda","Region of the Americas","Males","","56.03053192","no data","no data","",
"Diabetes age-standardized death rate","","2019","Antigua and Barbuda","Region of the Americas","Females","","66.09793293","no data","no data","",
"Diabetes age-standardized death rate","","2019","Argentina","Region of the Americas","Total","","17.01825395","no data","no data","",
"Diabetes age-standardized death rate","","2019","Argentina","Region of the Americas","Males","","22.4799133","no data","no data","",
"Diabetes age-standardized death rate","","2019","Argentina","Region of the Americas","Females","","12.96661694","no data","no data","",
"Diabetes age-standardized death rate","","2019","Armenia","European Region","Total","","19.16719393","no data","no data","",
"Diabetes age-standardized death rate","","2019","Armenia","European Region","Males","","18.12711262","no data","no data","",
"Diabetes age-standardized death rate","","2019","Armenia","European Region","Females","","19.66317942","no data","no data","",
"Diabetes age-standardized death rate","","2019","Australia","Western Pacific Region","Total","","9.403350357","no data","no data","",
"Diabetes age-standardized death rate","","2019","Australia","Western Pacific Region","Males","","11.68912364","no data","no data","",
"Diabetes age-standardized death rate","","2019","Australia","Western Pacific Region","Females","","7.347776296","no data","no data","",
"Diabetes age-standardized death rate","","2019","Austria","European Region","Total","","11.04000027","no data","no data","",
"Diabetes age-standardized death rate","","2019","Austria","European Region","Males","","13.93879817","no data","no data","",
"Diabetes age-standardized death rate","","2019","Austria","European Region","Females","","8.609338633","no data","no data","",
"Diabetes age-standardized death rate","","2019","Azerbaijan","European Region","Total","","30.9680329","no data","no data","",
"Diabetes age-standardized death rate","","2019","Azerbaijan","European Region","Males","","32.03156233","no data","no data","",
"Diabetes age-standardized death rate","","2019","Azerbaijan","European Region","Females","","29.96944558","no data","no data","",
"Diabetes age-standardized death rate","","2019","Bahamas","Region of the Americas","Total","","50.66210301","no data","no data","",
"Diabetes age-standardized death rate","","2019","Bahamas","Region of the Americas","Males","","53.3910698","no data","no data","",
"Diabetes age-standardized death rate","","2019","Bahamas","Region of the Americas","Females","","48.19554494","no data","no data","",
"Diabetes age-standardized death rate","","2019","Bahrain","Eastern Mediterranean Region","Total","","144.671712","no data","no data","",
"Diabetes age-standardized death rate","","2019","Bahrain","Eastern Mediterranean Region","Males","","148.5983767","no data","no data","",
"Diabetes age-standardized death rate","","2019","Bahrain","Eastern Mediterranean Region","Females","","137.611239","no data","no data","",
"Diabetes age-standardized death rate","","2019","Bangladesh","South-East Asia Region","Total","","28.47340899","no data","no data","",
"Diabetes age-standardized death rate","","2019","Bangladesh","South-East Asia Region","Males","","25.58398246","no data","no data","",
"Diabetes age-standardized death rate","","2019","Bangladesh","South-East Asia Region","Females","","30.9734818","no data","no data","",
"Diabetes age-standardized death rate","","2019","Barbados","Region of the Americas","Total","","45.8829614","no data","no data","",
"Diabetes age-standardized death rate","","2019","Barbados","Region of the Americas","Males","","43.37076841","no data","no data","",
"Diabetes age-standardized death rate","","2019","Barbados","Region of the Americas","Females","","47.59736713","no data","no data","",
"Diabetes age-standardized death rate","","2019","Belarus","European Region","Total","","2.707208758","no data","no data","",
"Diabetes age-standardized death rate","","2019","Belarus","European Region","Males","","3.537218421","no data","no data","",
"Diabetes age-standardized death rate","","2019","Belarus","European Region","Females","","2.271523497","no data","no data","",
"Diabetes age-standardized death rate","","2019","Belgium","European Region","Total","","5.297140794","no data","no data","",
"Diabetes age-standardized death rate","","2019","Belgium","European Region","Males","","6.471346672","no data","no data","",
"Diabetes age-standardized death rate","","2019","Belgium","European Region","Females","","4.195086052","no data","no data","",
"Diabetes age-standardized death rate","","2019","Belize","Region of the Americas","Total","","66.56144789","no data","no data","",
"Diabetes age-standardized death rate","","2019","Belize","Region of the Americas","Males","","62.15402633","no data","no data","",
"Diabetes age-standardized death rate","","2019","Belize","Region of the Americas","Females","","71.18825569","no data","no data","",
"Diabetes age-standardized death rate","","2019","Benin","African Region","Total","","48.27183034","no data","no data","",
"Diabetes age-standardized death rate","","2019","Benin","African Region","Males","","50.71771935","no data","no data","",
"Diabetes age-standardized death rate","","2019","Benin","African Region","Females","","46.12358092","no data","no data","",
"Diabetes age-standardized death rate","","2019","Bhutan","South-East Asia Region","Total","","36.12477092","no data","no data","",
"Diabetes age-standardized death rate","","2019","Bhutan","South-East Asia Region","Males","","35.68063535","no data","no data","",
"Diabetes age-standardized death rate","","2019","Bhutan","South-East Asia Region","Females","","36.64739242","no data","no data","",
"Diabetes age-standardized death rate","","2019","Bolivia (Plurinational State of)","Region of the Americas","Total","","67.15958231","no data","no data","",
"Diabetes age-standardized death rate","","2019","Bolivia (Plurinational State of)","Region of the Americas","Males","","58.01098481","no data","no data","",
"Diabetes age-standardized death rate","","2019","Bolivia (Plurinational State of)","Region of the Americas","Females","","75.14750048","no data","no data","",
"Diabetes age-standardized death rate","","2019","Bosnia and Herzegovina","European Region","Total","","38.53838447","no data","no data","",
"Diabetes age-standardized death rate","","2019","Bosnia and Herzegovina","European Region","Males","","38.54151929","no data","no data","",
"Diabetes age-standardized death rate","","2019","Bosnia and Herzegovina","European Region","Females","","37.95159643","no data","no data","",
"Diabetes age-standardized death rate","","2019","Botswana","African Region","Total","","111.848291","no data","no data","",
"Diabetes age-standardized death rate","","2019","Botswana","African Region","Males","","121.6382596","no data","no data","",
"Diabetes age-standardized death rate","","2019","Botswana","African Region","Females","","105.0336796","no data","no data","",
"Diabetes age-standardized death rate","","2019","Brazil","Region of the Americas","Total","","29.24427617","no data","no data","",
"Diabetes age-standardized death rate","","2019","Brazil","Region of the Americas","Males","","31.90180944","no data","no data","",
"Diabetes age-standardized death rate","","2019","Brazil","Region of the Americas","Females","","26.94232684","no data","no data","",
"Diabetes age-standardized death rate","","2019","Brunei Darussalam","Western Pacific Region","Total","","70.80441846","no data","no data","",
"Diabetes age-standardized death rate","","2019","Brunei Darussalam","Western Pacific Region","Males","","70.20567269","no data","no data","",
"Diabetes age-standardized death rate","","2019","Brunei Darussalam","Western Pacific Region","Females","","70.95196195","no data","no data","",
"Diabetes age-standardized death rate","","2019","Bulgaria","European Region","Total","","9.858879268","no data","no data","",
"Diabetes age-standardized death rate","","2019","Bulgaria","European Region","Males","","11.51454723","no data","no data","",
"Diabetes age-standardized death rate","","2019","Bulgaria","European Region","Females","","8.434671692","no data","no data","",
"Diabetes age-standardized death rate","","2019","Burkina Faso","African Region","Total","","47.81236779","no data","no data","",
"Diabetes age-standardized death rate","","2019","Burkina Faso","African Region","Males","","61.54028684","no data","no data","",
"Diabetes age-standardized death rate","","2019","Burkina Faso","African Region","Females","","38.14445119","no data","no data","",
"Diabetes age-standardized death rate","","2019","Burundi","African Region","Total","","43.79083801","no data","no data","",
"Diabetes age-standardized death rate","","2019","Burundi","African Region","Males","","52.19272296","no data","no data","",
"Diabetes age-standardized death rate","","2019","Burundi","African Region","Females","","37.16928231","no data","no data","",
"Diabetes age-standardized death rate","","2019","Cabo Verde","African Region","Total","","37.17277272","no data","no data","",
"Diabetes age-standardized death rate","","2019","Cabo Verde","African Region","Males","","41.24152734","no data","no data","",
"Diabetes age-standardized death rate","","2019","Cabo Verde","African Region","Females","","34.11364245","no data","no data","",
"Diabetes age-standardized death rate","","2019","Cambodia","Western Pacific Region","Total","","42.29442239","no data","no data","",
"Diabetes age-standardized death rate","","2019","Cambodia","Western Pacific Region","Males","","44.02065785","no data","no data","",
"Diabetes age-standardized death rate","","2019","Cambodia","Western Pacific Region","Females","","41.03641593","no data","no data","",
"Diabetes age-standardized death rate","","2019","Cameroon","African Region","Total","","74.17418685","no data","no data","",
"Diabetes age-standardized death rate","","2019","Cameroon","African Region","Males","","77.83754107","no data","no data","",
"Diabetes age-standardized death rate","","2019","Cameroon","African Region","Females","","70.89403962","no data","no data","",
"Diabetes age-standardized death rate","","2019","Canada","Region of the Americas","Total","","8.504999179","no data","no data","",
"Diabetes age-standardized death rate","","2019","Canada","Region of the Americas","Males","","11.08897987","no data","no data","",
"Diabetes age-standardized death rate","","2019","Canada","Region of the Americas","Females","","6.225018311","no data","no data","",
"Diabetes age-standardized death rate","","2019","Central African Republic","African Region","Total","","70.55217799","no data","no data","",
"Diabetes age-standardized death rate","","2019","Central African Republic","African Region","Males","","98.27446842","no data","no data","",
"Diabetes age-standardized death rate","","2019","Central African Republic","African Region","Females","","50.71301276","no data","no data","",
"Diabetes age-standardized death rate","","2019","Chad","African Region","Total","","45.54606871","no data","no data","",
"Diabetes age-standardized death rate","","2019","Chad","African Region","Males","","44.78118115","no data","no data","",
"Diabetes age-standardized death rate","","2019","Chad","African Region","Females","","46.07760378","no data","no data","",
"Diabetes age-standardized death rate","","2019","Chile","Region of the Americas","Total","","15.40407039","no data","no data","",
"Diabetes age-standardized death rate","","2019","Chile","Region of the Americas","Males","","18.40319442","no data","no data","",
"Diabetes age-standardized death rate","","2019","Chile","Region of the Americas","Females","","13.11077524","no data","no data","",
"Diabetes age-standardized death rate","","2019","China","Western Pacific Region","Total","","12.38135444","no data","no data","",
"Diabetes age-standardized death rate","","2019","China","Western Pacific Region","Males","","13.81343986","no data","no data","",
"Diabetes age-standardized death rate","","2019","China","Western Pacific Region","Females","","11.29120198","no data","no data","",
"Diabetes age-standardized death rate","","2019","Colombia","Region of the Americas","Total","","13.00473344","no data","no data","",
"Diabetes age-standardized death rate","","2019","Colombia","Region of the Americas","Males","","13.19490469","no data","no data","",
"Diabetes age-standardized death rate","","2019","Colombia","Region of the Americas","Females","","12.84833354","no data","no data","",
"Diabetes age-standardized death rate","","2019","Comoros","African Region","Total","","46.62466637","no data","no data","",
"Diabetes age-standardized death rate","","2019","Comoros","African Region","Males","","51.27024388","no data","no data","",
"Diabetes age-standardized death rate","","2019","Comoros","African Region","Females","","42.85226761","no data","no data","",
"Diabetes age-standardized death rate","","2019","Congo","African Region","Total","","60.7400596","no data","no data","",
"Diabetes age-standardized death rate","","2019","Congo","African Region","Males","","69.41428582","no data","no data","",
"Diabetes age-standardized death rate","","2019","Congo","African Region","Females","","54.53166965","no data","no data","",
"Diabetes age-standardized death rate","","2019","Cook Islands","Western Pacific Region","Total","","no data","no data","no data","",
"Diabetes age-standardized death rate","","2019","Cook Islands","Western Pacific Region","Males","","no data","no data","no data","",
"Diabetes age-standardized death rate","","2019","Cook Islands","Western Pacific Region","Females","","no data","no data","no data","",
"Diabetes age-standardized death rate","","2019","Costa Rica","Region of the Americas","Total","","26.31913312","no data","no data","",
"Diabetes age-standardized death rate","","2019","Costa Rica","Region of the Americas","Males","","27.18813257","no data","no data","",
"Diabetes age-standardized death rate","","2019","Costa Rica","Region of the Americas","Females","","25.34806156","no data","no data","",
"Diabetes age-standardized death rate","","2019","Côte d'Ivoire","African Region","Total","","53.53468325","no data","no data","",
"Diabetes age-standardized death rate","","2019","Côte d'Ivoire","African Region","Males","","58.57599163","no data","no data","",
"Diabetes age-standardized death rate","","2019","Côte d'Ivoire","African Region","Females","","47.82915963","no data","no data","",
"Diabetes age-standardized death rate","","2019","Croatia","European Region","Total","","19.86057362","no data","no data","",
"Diabetes age-standardized death rate","","2019","Croatia","European Region","Males","","20.06140392","no data","no data","",
"Diabetes age-standardized death rate","","2019","Croatia","European Region","Females","","18.83661548","no data","no data","",
"Diabetes age-standardized death rate","","2019","Cuba","Region of the Americas","Total","","12.17146286","no data","no data","",
"Diabetes age-standardized death rate","","2019","Cuba","Region of the Americas","Males","","11.08775276","no data","no data","",
"Diabetes age-standardized death rate","","2019","Cuba","Region of the Americas","Females","","13.05162136","no data","no data","",
"Diabetes age-standardized death rate","","2019","Cyprus","European Region","Total","","17.4685474","no data","no data","",
"Diabetes age-standardized death rate","","2019","Cyprus","European Region","Males","","21.05886902","no data","no data","",
"Diabetes age-standardized death rate","","2019","Cyprus","European Region","Females","","14.31088046","no data","no data","",
"Diabetes age-standardized death rate","","2019","Czechia","European Region","Total","","16.89255718","no data","no data","",
"Diabetes age-standardized death rate","","2019","Czechia","European Region","Males","","20.68993134","no data","no data","",
"Diabetes age-standardized death rate","","2019","Czechia","European Region","Females","","13.81228125","no data","no data","",
"Diabetes age-standardized death rate","","2019","Democratic People's Republic of Korea","South-East Asia Region","Total","","17.22755689","no data","no data","",
"Diabetes age-standardized death rate","","2019","Democratic People's Republic of Korea","South-East Asia Region","Males","","17.48966399","no data","no data","",
"Diabetes age-standardized death rate","","2019","Democratic People's Republic of Korea","South-East Asia Region","Females","","17.27877843","no data","no data","",
"Diabetes age-standardized death rate","","2019","Democratic Republic of the Congo","African Region","Total","","44.34289023","no data","no data","",
"Diabetes age-standardized death rate","","2019","Democratic Republic of the Congo","African Region","Males","","61.79648963","no data","no data","",
"Diabetes age-standardized death rate","","2019","Democratic Republic of the Congo","African Region","Females","","29.77736158","no data","no data","",
"Diabetes age-standardized death rate","","2019","Denmark","European Region","Total","","10.65314034","no data","no data","",
"Diabetes age-standardized death rate","","2019","Denmark","European Region","Males","","14.29336387","no data","no data","",
"Diabetes age-standardized death rate","","2019","Denmark","European Region","Females","","7.505599993","no data","no data","",
"Diabetes age-standardized death rate","","2019","Djibouti","Eastern Mediterranean Region","Total","","57.97612563","no data","no data","",
"Diabetes age-standardized death rate","","2019","Djibouti","Eastern Mediterranean Region","Males","","67.3779037","no data","no data","",
"Diabetes age-standardized death rate","","2019","Djibouti","Eastern Mediterranean Region","Females","","49.24426125","no data","no data","",
"Diabetes age-standardized death rate","","2019","Dominica","Region of the Americas","Total","","no data","no data","no data","",
"Diabetes age-standardized death rate","","2019","Dominica","Region of the Americas","Males","","no data","no data","no data","",
"Diabetes age-standardized death rate","","2019","Dominica","Region of the Americas","Females","","no data","no data","no data","",
"Diabetes age-standardized death rate","","2019","Dominican Republic","Region of the Americas","Total","","34.06017146","no data","no data","",
"Diabetes age-standardized death rate","","2019","Dominican Republic","Region of the Americas","Males","","36.18063809","no data","no data","",
"Diabetes age-standardized death rate","","2019","Dominican Republic","Region of the Americas","Females","","31.85920665","no data","no data","",
"Diabetes age-standardized death rate","","2019","Eastern Mediterranean Region","Eastern Mediterranean Region","Total","","43.81799223","no data","no data","",
"Diabetes age-standardized death rate","","2019","Eastern Mediterranean Region","Eastern Mediterranean Region","Males","","42.04942327","no data","no data","",
"Diabetes age-standardized death rate","","2019","Eastern Mediterranean Region","Eastern Mediterranean Region","Females","","45.53890571","no data","no data","",
"Diabetes age-standardized death rate","","2019","Ecuador","Region of the Americas","Total","","38.76384394","no data","no data","",
"Diabetes age-standardized death rate","","2019","Ecuador","Region of the Americas","Males","","39.68752907","no data","no data","",
"Diabetes age-standardized death rate","","2019","Ecuador","Region of the Americas","Females","","37.88009579","no data","no data","",
