"Indicator Name","Cancer Type","Year","Country Name","Region","Gender","Area","Numeric","Lower Confidence Limit","Upper Confidence Limit","Comment",
"Physical inactivity, adults aged 18+","","2022","","Global","Total","","31.265667","28.57692","33.992661","",
"Physical inactivity, adults aged 18+","","2022","","Global","Males","","28.735479","24.964621","32.561256","",
"Physical inactivity, adults aged 18+","","2022","","Global","Females","","33.795738","29.906904","37.664982","",
"Physical inactivity, adults aged 18+","","2022","Afghanistan","Eastern Mediterranean Region","Total","","33.356445","23.042757","44.224697","",
"Physical inactivity, adults aged 18+","","2022","Afghanistan","Eastern Mediterranean Region","Males","","20.019466","9.8748446","33.071007","",
"Physical inactivity, adults aged 18+","","2022","Afghanistan","Eastern Mediterranean Region","Females","","46.025105","28.503967","63.832031","",
"Physical inactivity, adults aged 18+","","2022","African Region","African Region","Total","","17.290684","13.818802","21.669586","",
"Physical inactivity, adults aged 18+","","2022","African Region","African Region","Males","","14.464166","10.517504","19.608963","",
"Physical inactivity, adults aged 18+","","2022","African Region","African Region","Females","","19.913071","14.444693","27.32686","",
"Physical inactivity, adults aged 18+","","2022","Albania","European Region","Total","","24.279688","9.0456343","45.885372","",
"Physical inactivity, adults aged 18+","","2022","Albania","European Region","Males","","21.438486","5.6334276","48.470791","",
"Physical inactivity, adults aged 18+","","2022","Albania","European Region","Females","","27.123302","5.115509","61.897896","",
"Physical inactivity, adults aged 18+","","2022","Algeria","African Region","Total","","29.036757","19.032257","39.881283","",
"Physical inactivity, adults aged 18+","","2022","Algeria","African Region","Males","","20.051332","10.127817","33.193321","",
"Physical inactivity, adults aged 18+","","2022","Algeria","African Region","Females","","38.202965","21.412357","57.204002","",
"Physical inactivity, adults aged 18+","","2022","Andorra","European Region","Total","","27.208549","12.27522","46.632084","",
"Physical inactivity, adults aged 18+","","2022","Andorra","European Region","Males","","26.182926","8.72684","50.726326","",
"Physical inactivity, adults aged 18+","","2022","Andorra","European Region","Females","","28.305981","6.9058619","60.812305","",
"Physical inactivity, adults aged 18+","","2022","Angola","African Region","Total","","17.329948","5.493751","36.416168","",
"Physical inactivity, adults aged 18+","","2022","Angola","African Region","Males","","13.930124","3.0426834","35.960934","",
"Physical inactivity, adults aged 18+","","2022","Angola","African Region","Females","","20.424028","3.0848124","52.388252","",
"Physical inactivity, adults aged 18+","","2022","Antigua and Barbuda","Region of the Americas","Total","","38.117939","17.795544","61.034882","",
"Physical inactivity, adults aged 18+","","2022","Antigua and Barbuda","Region of the Americas","Males","","30.846676","10.224089","60.6227","",
"Physical inactivity, adults aged 18+","","2022","Antigua and Barbuda","Region of the Americas","Females","","44.768341","12.682049","79.788818","",
"Physical inactivity, adults aged 18+","","2022","Argentina","Region of the Americas","Total","","38.50597","28.460779","48.942711","",
"Physical inactivity, adults aged 18+","","2022","Argentina","Region of the Americas","Males","","36.934277","24.317078","50.274189","",
"Physical inactivity, adults aged 18+","","2022","Argentina","Region of the Americas","Females","","40.085693","24.947313","56.1647","",
"Physical inactivity, adults aged 18+","","2022","Armenia","European Region","Total","","26.583851","16.288815","38.460678","",
"Physical inactivity, adults aged 18+","","2022","Armenia","European Region","Males","","28.248632","15.01151","44.302219","",
"Physical inactivity, adults aged 18+","","2022","Armenia","European Region","Females","","25.314573","11.546139","43.334232","",
"Physical inactivity, adults aged 18+","","2022","Australia","Western Pacific Region","Total","","25.465837","19.435942","32.2192","",
"Physical inactivity, adults aged 18+","","2022","Australia","Western Pacific Region","Males","","23.73945","16.032555","33.083157","",
"Physical inactivity, adults aged 18+","","2022","Australia","Western Pacific Region","Females","","27.166674","17.752623","38.050251","",
"Physical inactivity, adults aged 18+","","2022","Austria","European Region","Total","","19.75799","15.489141","24.360434","",
"Physical inactivity, adults aged 18+","","2022","Austria","European Region","Males","","19.62381","14.088313","26.224937","",
"Physical inactivity, adults aged 18+","","2022","Austria","European Region","Females","","19.876013","13.916409","27.014858","",
"Physical inactivity, adults aged 18+","","2022","Azerbaijan","European Region","Total","","23.920729","15.324694","34.481186","",
"Physical inactivity, adults aged 18+","","2022","Azerbaijan","European Region","Males","","25.076597","13.605295","39.356537","",
"Physical inactivity, adults aged 18+","","2022","Azerbaijan","European Region","Females","","22.814419","10.707283","38.472023","",
"Physical inactivity, adults aged 18+","","2022","Bahamas","Region of the Americas","Total","","37.167393","26.926126","47.590343","",
"Physical inactivity, adults aged 18+","","2022","Bahamas","Region of the Americas","Males","","26.574717","15.448742","39.778599","",
"Physical inactivity, adults aged 18+","","2022","Bahamas","Region of the Americas","Females","","46.624298","30.578821","63.315762","",
"Physical inactivity, adults aged 18+","","2022","Bahrain","Eastern Mediterranean Region","Total","","38.614265","19.394306","60.652477","",
"Physical inactivity, adults aged 18+","","2022","Bahrain","Eastern Mediterranean Region","Males","","35.726631","12.518479","65.053322","",
