Country Name,Diabetes Rate,Inactivity Rate,che_gdp,Diabetes Mortality Rate
Algeria,20.33360244,29.036757,5.5,20.33360244
Angola,50.00562837,17.329948,3.0,50.00562837
Benin,48.27183034,18.024012,2.6,48.27183034
Botswana,111.848291,22.275454,6.3,111.848291
Burkina Faso,47.81236779,16.943354,6.4,47.81236779
Burundi,43.79083801,14.274113,9.1,43.79083801
Cabo Verde,37.17277272,31.234873,6.9,37.17277272
Cameroon,74.17418685,18.814741,3.8,74.17418685
Central African Republic,70.55217799,16.53388,9.1,70.55217799
Chad,45.54606871,17.847639,5.2,45.54606871
Comoros,46.62466637,17.200766,6.3,46.62466637
Congo,60.7400596,15.971411,3.9,60.7400596
Côte d'Ivoire,53.53468325,19.677767,3.1,53.53468325
Democratic Republic of the Congo,44.34289023,14.868432,3.8,44.34289023
Equatorial Guinea,77.56513471,19.505293,3.4,77.56513471
Eritrea,60.99057083,11.818641,4.2,60.99057083
Eswatini,181.7890164,19.22184,7.0,181.7890164
Ethiopia,41.66220608,9.4297638,3.2,41.66220608
Gabon,77.15022674,20.818705,2.7,77.15022674
Gambia,47.74802952,21.154228,3.2,47.74802952
Ghana,55.71096489,21.162224,4.2,55.71096489
Guinea,54.4990385,16.701309,3.8,54.4990385
Guinea-Bissau,55.96020024,17.639141,8.2,55.96020024
Kenya,37.3921091,8.9172421,4.5,37.3921091
Lesotho,169.4473099,7.977572,10.2,169.4473099
Liberia,40.78357369,14.583702,16.6,40.78357369
Madagascar,35.16920585,13.590646,3.5,35.16920585
Malawi,43.72126835,2.6952345,7.4,43.72126835
Mali,45.2715015,29.820065,4.5,45.2715015
Mauritania,42.56316216,38.518417,4.1,42.56316216
Mauritius,140.8126183,29.87504,6.4,140.8126183
Mozambique,66.43094458,9.6848192,9.1,66.43094458
Namibia,68.44789538,25.378115,9.4,68.44789538
Niger,42.90926487,16.196146,5.8,42.90926487
Nigeria,40.35485275,18.051514,4.1,40.35485275
Rwanda,44.08548192,8.969945,7.3,44.08548192
Sao Tome and Principe,29.20486021,18.151239,7.8,29.20486021
Senegal,48.6215155,16.64044,4.4,48.6215155
Seychelles,43.44943822,20.439074,5.3,43.44943822
Sierra Leone,47.55066447,12.960729,8.6,47.55066447
South Africa,84.69729559,44.802898,8.3,84.69729559
South Sudan,35.11419743,16.257408,5.9,35.11419743
Togo,48.18447022,14.775393,5.6,48.18447022
Uganda,48.57970356,5.5496364,4.7,48.57970356
United Republic of Tanzania,37.59562032,4.2993827,3.4,37.59562032
Zambia,52.94645319,14.088969,6.6,52.94645319
Zimbabwe,67.70822938,17.698755,2.8,67.70822938
Antigua and Barbuda,61.53434375,38.117939,5.9,61.53434375
Argentina,17.01825395,38.50597,9.7,17.01825395
Bahamas,50.66210301,37.167393,7.1,50.66210301
Barbados,45.8829614,44.032654,8.1,45.8829614
Belize,66.56144789,41.519344,5.0,66.56144789
Bolivia (Plurinational State of),67.15958231,22.574299,8.2,67.15958231
Brazil,29.24427617,40.398304,9.9,29.24427617
Canada,8.504999179,37.180416,12.3,8.504999179
Chile,15.40407039,38.213932,9.3,15.40407039
Colombia,13.00473344,34.429096,9.0,13.00473344
Costa Rica,26.31913312,49.658787,7.6,26.31913312
Cuba,12.17146286,61.075569,13.8,12.17146286
Dominica,,30.515839,6.5,
Dominican Republic,34.06017146,37.024555,4.9,34.06017146
Ecuador,38.76384394,22.777739,8.3,38.76384394
El Salvador,33.29708022,39.231148,9.7,33.29708022
Grenada,80.5039734,35.869469,5.7,80.5039734
Guatemala,83.60253134,36.830093,6.9,83.60253134
Guyana,96.86696319,35.081787,4.9,96.86696319
Haiti,79.89386167,28.299654,3.5,79.89386167
Honduras,35.45436146,36.775093,9.2,35.45436146
Jamaica,70.17013996,38.614437,7.2,70.17013996
Mexico,94.5635754,27.990002,6.1,94.5635754
Nicaragua,71.01556848,38.748055,9.7,71.01556848
Panama,30.97163505,57.638584,9.7,30.97163505
Paraguay,53.03114884,35.961838,8.0,53.03114884
Peru,19.80238794,34.473938,6.2,19.80238794
Saint Kitts and Nevis,,41.694901,6.2,
Saint Lucia,70.6250551,20.949776,6.2,70.6250551
Saint Vincent and the Grenadines,52.86989851,30.457857,5.4,52.86989851
Suriname,71.97998388,48.855488,5.7,71.97998388
Trinidad and Tobago,77.5791734,44.51088,7.0,77.5791734
United States of America,14.76123501,33.736992,17.4,14.76123501
Uruguay,15.85528416,33.844395,9.4,15.85528416
Venezuela (Bolivarian Republic of),55.34158299,45.729477,4.0,55.34158299
Afghanistan,57.92835787,33.356445,21.8,57.92835787
Bahrain,144.671712,38.614265,4.3,144.671712
Djibouti,57.97612563,16.979588,2.9,57.97612563
Egypt,39.74325084,33.801437,4.6,39.74325084
Iran (Islamic Republic of),26.90008463,46.278023,5.8,26.90008463
Iraq,57.53245175,52.021988,5.2,57.53245175
Jordan,45.99672692,28.23,7.3,45.99672692
